Artist,Album,Weight,Tags,Published
Suicide Silence,You Only Live Once,823484.2289719625,,
Despised Icon,Syndicated Murder EP,777990.052356021,,
Aversions Crown,Aversions Crown [EP],713257.142857143,,
Make Them Suffer,Lord Of Woe [EP],700721.9512195121,,
All Shall Perish,Divine Illusion,616800.2590673575,,
Slaughter To Prevail,Chronic Slaughter,612153.187250996,,
I Declare War,Dead & Bloated,607875.6618274979,,
My Autumn,По Ту Сторону Сна... (Single),599400,,
Carnifex,Love Lies In Ashes,591362.7586206896,,
My Autumn,Стереотипы (Single),556871.9101123596,,
Carnifex,Dragged Into The Grave,523038.6117136659,,
Chelsea Grin,Sellout,455462.5482625483,,
Dr. Acula,"Is This a Party, or a Dick Measuring Contest",425103.61445783137,,
Impending Doom,Music,414050,,
I Declare War,Bring The Season [EP],358400,,
Winds of Plague,Refined in the Fire - Single,324352.05047318613,,
Oceano,The Great Tribulation,300727.5590551181,,
The Crimson Armada,Behold The Architect [EP],289000,,
Carnifex,Dead But Dreaming - Single,189325.52816901408,,
All Shall Perish,Eradication (Demo),154005.84415584418,,
Winds of Plague,California - Single,134464.10256410256,,
Here Comes the Kraken,Ratttas,86995.08196721312,,
Rose Funeral,Total Deathcore Volume 5,62422.222222222226,,
Slaughter To Prevail,Download,19266.666666666668,,
